# timestamp ; shimcoil temp [°C] ; Z ; Z2 ; Z3 ; Z4 ; Z5 ; X ; XZ ; XZ2 ; (X2-Y2) ; XY ; Y ; YZ ; YZ2 ; (X2-Y2)Z2 ; XZ4 ; XZ3 ; Z6 ; (X2-Y2)Z ; YZ4 ; YZ3 ; XYZ2 ; XYZ ; X3Z ; X3 ; Y3Z ; Y3 ; Z7 ; Z8 ; Z9 ; Z10 ; XZ5 ; YZ5 ; (X2-Y2)Z3 ; (X2-Y2)Z4 ; (X2-Y2)Z5 ; XYZ3 ; XYZ4 ; XYZ5 ; Z0
2017-08-08T15:18:51.508+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-08T15:50:13.074+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-09T09:52:17.595+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-09T10:33:30.093+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-09T10:34:34.388+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-10T10:35:33.609+0200;34.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-11T10:36:33.609+0200;34.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-12T10:37:33.609+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-13T10:38:33.607+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-14T10:39:33.608+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-15T10:40:33.607+0200;32.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-16T10:41:33.606+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-17T10:42:33.710+0200;32.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-18T10:43:33.612+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-19T10:44:33.612+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-20T10:45:33.609+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-21T10:46:33.608+0200;33.00;-46730;645;-1061;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-28T10:39:57.127+0200;32.00;-46522;-22;-4765;4886;3162;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
2017-08-29T10:40:56.016+0200;32.00;-46649;647;-1106;4916;3257;47669;1729;487;-15534;12940;-13419;-2157;-2567;-801;-540;650;-5178;1710;-294;-887;2872;6409;8527;12813;-1989;-4030;-17668;0;0;0;4428;2200;1436;2721;0;-433;4496;0;0
