# timestamp ; field [FU] ; field [Hz] ; base frequency 1H [Hz]
2017-11-06T12:13:03.629+0100;-2516.05;-16390.53;600550000.00
2017-11-07T00:14:00.446+0100;-2508.21;-16339.49;600550000.00
2017-11-08T00:15:00.436+0100;-2507.99;-16338.04;600550000.00
2017-11-09T00:16:00.444+0100;-2509.23;-16346.12;600550000.00
2017-11-10T00:17:00.446+0100;-2506.75;-16329.94;600550000.00
2017-11-10T12:17:00.550+0100;-2515.69;-16388.19;600550000.00
2017-11-11T00:18:00.439+0100;-2507.04;-16331.83;600550000.00
2017-11-12T00:19:00.448+0100;-2508.43;-16340.89;600550000.00
2017-11-13T00:20:00.442+0100;-2508.70;-16342.68;600550000.00
2017-11-14T02:39:25.604+0100;-2517.69;-16401.25;600550000.00
2017-11-15T02:40:25.621+0100;-2309.86;-15047.35;600550000.00
2017-11-15T14:40:25.708+0100;-2519.26;-16411.46;600550000.00
2017-11-16T02:41:25.601+0100;-2517.00;-16396.73;600550000.00
2017-11-16T14:41:25.744+0100;-2521.40;-16425.39;600550000.00
2017-11-17T02:42:25.608+0100;-2516.73;-16394.99;600550000.00
2017-11-17T14:42:25.718+0100;-2520.22;-16417.69;600550000.00
2017-11-18T02:43:25.600+0100;-2516.40;-16392.81;600550000.00
2017-11-19T02:44:25.602+0100;-2517.18;-16397.94;600550000.00
2017-11-20T02:45:25.599+0100;-2518.17;-16404.39;600550000.00
2017-11-27T09:03:30.268+0100;-2516.10;-16390.87;600550000.00
2017-11-27T21:04:23.170+0100;-2507.87;-16337.25;600550000.00
2017-11-28T21:05:23.194+0100;-2510.76;-16356.12;600550000.00
2017-11-29T21:06:23.165+0100;-2510.45;-16354.07;600550000.00
2017-11-30T21:07:23.175+0100;-2509.65;-16348.87;600550000.00
2017-12-01T21:08:23.175+0100;-2508.39;-16340.67;600550000.00
2017-12-02T21:09:23.173+0100;-2508.07;-16338.56;600550000.00
2017-12-03T21:10:23.181+0100;-2506.71;-16329.71;600550000.00
2017-12-04T21:11:23.170+0100;-2506.24;-16326.65;600550000.00
2017-12-06T15:43:48.889+0100;-2534.59;-16511.37;600550000.00
2017-12-11T08:07:09.755+0100;-2471.59;-16100.92;600550000.00
2017-12-11T20:08:07.212+0100;-2536.57;-16524.24;600550000.00
2017-12-12T08:08:07.319+0100;-2534.49;-16510.67;600550000.00
2017-12-13T08:09:07.310+0100;-2533.51;-16504.29;600550000.00
2017-12-14T08:10:07.310+0100;-2534.77;-16512.48;600550000.00
2017-12-15T08:11:07.317+0100;-2535.24;-16515.54;600550000.00
2017-12-15T22:38:03.680+0100;-2526.49;-16458.58;600550000.00
2017-12-16T22:39:03.686+0100;-2523.46;-16438.82;600550000.00
2017-12-17T22:40:03.682+0100;-2522.22;-16430.72;600550000.00
